,Age,Attrition,DistanceFromHome,Education,EnvironmentSatisfaction,Gender,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,RelationshipSatisfaction,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,BusinessTravel_Non-Travel,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Human Resources,Department_Research & Development,Department_Sales,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single
0,41,1,1,2,2,1,4,5993,8,1,11,1,1,6,4,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
1,49,0,8,1,3,0,2,5130,1,0,23,4,3,10,7,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
2,37,1,2,2,4,0,3,2090,6,1,15,2,3,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
3,33,0,3,4,4,1,3,2909,1,1,11,3,3,8,7,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
4,27,0,2,1,1,0,2,3468,9,0,12,4,3,2,2,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
5,32,0,2,2,4,0,4,3068,0,0,13,3,2,7,7,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
6,59,0,3,3,3,1,1,2670,4,1,20,1,2,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
7,30,0,24,1,4,0,3,2693,1,0,22,2,3,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
8,38,0,23,3,4,0,3,9526,0,0,21,2,3,9,7,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
9,36,0,27,3,3,0,3,5237,6,0,13,2,2,7,7,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
10,35,0,16,3,1,0,2,2426,0,0,13,3,3,5,4,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
11,29,0,15,2,4,1,3,4193,0,1,12,4,3,9,5,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
12,31,0,26,1,1,0,3,2911,1,0,17,4,2,5,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
13,34,0,19,2,2,0,4,2661,0,0,11,3,3,2,2,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
14,28,1,24,3,3,0,3,2028,5,1,14,2,3,4,2,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
15,29,0,21,4,2,1,1,9980,1,0,11,3,3,10,9,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
16,32,0,5,2,1,0,2,3298,0,1,12,4,2,6,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
17,22,0,16,2,4,0,4,2935,1,1,13,2,2,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
18,53,0,2,4,1,1,4,15427,2,0,16,3,3,25,8,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
19,38,0,2,3,4,0,4,3944,5,1,11,3,3,3,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
20,24,0,11,2,1,1,3,4011,0,0,18,4,2,4,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
21,36,1,9,4,3,0,1,3407,7,0,23,2,3,5,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
22,34,0,7,4,1,1,2,11994,0,0,11,3,3,12,6,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
23,21,0,15,2,3,0,4,1232,1,0,14,4,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
24,34,1,6,1,2,0,1,2960,2,0,11,3,3,4,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
25,53,0,5,3,3,1,3,19094,4,0,11,4,2,14,13,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
26,32,1,16,1,2,1,1,3919,1,1,22,2,3,10,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
27,42,0,8,4,3,0,2,6825,0,0,11,4,3,9,7,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
28,44,0,7,4,1,1,4,10248,3,0,14,4,3,22,6,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
29,46,0,2,4,2,1,1,18947,3,0,12,4,2,2,2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
30,33,0,2,3,3,0,4,2496,4,0,11,4,3,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
31,44,0,10,4,4,0,4,6465,2,1,13,4,4,4,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
32,30,0,9,2,4,0,3,2206,1,0,13,1,3,10,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
33,39,1,5,3,4,0,4,2086,3,0,14,3,4,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
34,24,1,1,3,2,0,4,2293,2,1,16,1,2,2,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
35,43,0,2,2,4,1,3,2645,1,0,12,4,2,5,3,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
36,50,1,3,2,1,0,3,2683,1,1,14,3,3,3,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
37,35,0,2,3,4,1,4,2014,1,0,13,1,3,2,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
38,36,0,5,4,2,1,1,3419,9,1,14,4,4,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
39,33,0,1,3,3,1,1,5376,2,0,19,1,3,5,3,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
40,35,0,4,2,3,0,4,1951,1,0,12,3,3,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
41,27,0,2,4,4,1,1,2341,1,0,13,4,3,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
42,26,1,25,3,1,0,3,2293,1,0,12,3,2,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
43,27,0,8,3,4,0,3,8726,1,0,15,4,3,9,8,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
44,30,0,1,2,3,1,4,4011,1,0,23,4,3,12,8,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
45,41,1,12,3,2,1,3,19545,1,0,12,4,3,22,15,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
