,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EnvironmentSatisfaction,Gender,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,RelationshipSatisfaction,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole
0,41,1,Travel_Rarely,Sales,1,2,2,1,Sales Executive,4,Single,5993,8,1,11,1,1,6,4
1,49,0,Travel_Frequently,Research & Development,8,1,3,0,Research Scientist,2,Married,5130,1,0,23,4,3,10,7
2,37,1,Travel_Rarely,Research & Development,2,2,4,0,Laboratory Technician,3,Single,2090,6,1,15,2,3,0,0
3,33,0,Travel_Frequently,Research & Development,3,4,4,1,Research Scientist,3,Married,2909,1,1,11,3,3,8,7
4,27,0,Travel_Rarely,Research & Development,2,1,1,0,Laboratory Technician,2,Married,3468,9,0,12,4,3,2,2
5,32,0,Travel_Frequently,Research & Development,2,2,4,0,Laboratory Technician,4,Single,3068,0,0,13,3,2,7,7
6,59,0,Travel_Rarely,Research & Development,3,3,3,1,Laboratory Technician,1,Married,2670,4,1,20,1,2,1,0
7,30,0,Travel_Rarely,Research & Development,24,1,4,0,Laboratory Technician,3,Divorced,2693,1,0,22,2,3,1,0
8,38,0,Travel_Frequently,Research & Development,23,3,4,0,Manufacturing Director,3,Single,9526,0,0,21,2,3,9,7
9,36,0,Travel_Rarely,Research & Development,27,3,3,0,Healthcare Representative,3,Married,5237,6,0,13,2,2,7,7
10,35,0,Travel_Rarely,Research & Development,16,3,1,0,Laboratory Technician,2,Married,2426,0,0,13,3,3,5,4
11,29,0,Travel_Rarely,Research & Development,15,2,4,1,Laboratory Technician,3,Single,4193,0,1,12,4,3,9,5
12,31,0,Travel_Rarely,Research & Development,26,1,1,0,Research Scientist,3,Divorced,2911,1,0,17,4,2,5,2
13,34,0,Travel_Rarely,Research & Development,19,2,2,0,Laboratory Technician,4,Divorced,2661,0,0,11,3,3,2,2
14,28,1,Travel_Rarely,Research & Development,24,3,3,0,Laboratory Technician,3,Single,2028,5,1,14,2,3,4,2
15,29,0,Travel_Rarely,Research & Development,21,4,2,1,Manufacturing Director,1,Divorced,9980,1,0,11,3,3,10,9
16,32,0,Travel_Rarely,Research & Development,5,2,1,0,Research Scientist,2,Divorced,3298,0,1,12,4,2,6,2
17,22,0,Non-Travel,Research & Development,16,2,4,0,Laboratory Technician,4,Divorced,2935,1,1,13,2,2,1,0
18,53,0,Travel_Rarely,Sales,2,4,1,1,Manager,4,Married,15427,2,0,16,3,3,25,8
19,38,0,Travel_Rarely,Research & Development,2,3,4,0,Research Scientist,4,Single,3944,5,1,11,3,3,3,2
20,24,0,Non-Travel,Research & Development,11,2,1,1,Manufacturing Director,3,Divorced,4011,0,0,18,4,2,4,2
21,36,1,Travel_Rarely,Sales,9,4,3,0,Sales Representative,1,Single,3407,7,0,23,2,3,5,3
22,34,0,Travel_Rarely,Research & Development,7,4,1,1,Research Director,2,Single,11994,0,0,11,3,3,12,6
23,21,0,Travel_Rarely,Research & Development,15,2,3,0,Research Scientist,4,Single,1232,1,0,14,4,3,0,0
24,34,1,Travel_Rarely,Research & Development,6,1,2,0,Research Scientist,1,Single,2960,2,0,11,3,3,4,2
25,53,0,Travel_Rarely,Research & Development,5,3,3,1,Manager,3,Divorced,19094,4,0,11,4,2,14,13
26,32,1,Travel_Frequently,Research & Development,16,1,2,1,Research Scientist,1,Single,3919,1,1,22,2,3,10,2
